TargetTitle	Length	ratio	Source place	Target place	Analysis text	Target text
doyle_signoffour_5_d	20	0.95	12807	2005	d Sherlock Holmes, s	d Sherlock Holmes, g
doyle_signoffour_5_d	20	0.95	13247	13785	Take my advice and t	Take my advice, and 
doyle_signoffour_7_d	21	1.0	934	2647	he more I thought of 	he more I thought of 
doyle_signoffour_7_d	20	0.95	3103	2952	 advertisement,” he 	 advertisement, the 
doyle_signoffour_7_d	23	1.0	4883	16351	 papers in the hope of 	 papers in the hope of 
doyle_signoffour_7_d	20	1.0	6190	7384	. That will do. Now 	. That will do. Now 
doyle_signoffour_7_d	21	0.9523809523809523	7158	6917	d the stairs. The foo	d the stairs. The roo
doyle_signoffour_7_d	20	0.95	9879	6911	scended the stair. L	scended the stairs. 
doyle_adventures_9_d	20	0.95	1301	17796	n the other hand, wh	n the other hand, th
doyle_adventures_9_d	24	0.9583333333333334	4738	17736	 it was possible that he	 it was possible that th
doyle_adventures_9_d	25	1.0	6880	41451	 in the direction of the 	 in the direction of the 
doyle_adventures_9_d	21	1.0	6880	42594	 in the direction of 	 in the direction of 
doyle_adventures_9_d	20	1.0	9905	32581	 through the window 	 through the window 
doyle_adventures_9_d	25	0.96	11382	4414	e. Presently she came to 	e. Presently he came to h
doyle_adventures_9_d	20	0.95	12808	37579	 Sherlock Holmes, sh	 Sherlock Holmes, th
doyle_adventures_9_d	22	1.0	12875	34706	. It must have been a 	. It must have been a 
doyle_scarlet_7_d	23	0.9565217391304348	5671	371	. “The plot thickens,” 	. “The plot thickens.” 
doyle_scarlet_7_d	20	0.95	6796	16365	 there was a sharp r	 there was a sharp c
doyle_scarlet_7_d	20	0.95	6831	10442	. Sherlock Holmes ro	. Sherlock Holmes dr
doyle_scarlet_7_d	22	1.0	8017	1273	 in the Brixton Road. 	 in the Brixton Road. 
doyle_scarlet_7_d	25	0.96	8724	17956	,” said Sherlock Holmes s	,” said Sherlock Holmes. 
doyle_scarlet_7_d	24	1.0	9541	6269	 Sherlock Holmes sprang 	 Sherlock Holmes sprang 
doyle_scarlet_7_d	36	1.0	9541	16417	 Sherlock Holmes sprang to his feet 	 Sherlock Holmes sprang to his feet 
doyle_scarlet_7_d	21	0.9523809523809523	9905	17096	 through the window I	 through the window. 
doyle_scarlet_7_d	20	0.95	11596	3084	 at the other side o	 at the other side. 
doyle_scarlet_7_d	24	0.9583333333333334	12802	17957	” said Sherlock Holmes, 	” said Sherlock Holmes. 
doyle_scarlet_13_d	20	0.95	3033	18686	 upon the floor. It 	 upon the floor. I t
doyle_scarlet_13_d	21	0.9523809523809523	3489	21635	 221B, Baker Street, 	 221B, Baker Street. 
doyle_scarlet_13_d	21	1.0	4224	19926	 than lose the ring. 	 than lose the ring. 
doyle_scarlet_13_d	22	1.0	4296	19783	 over Drebber’s body, 	 over Drebber’s body, 
doyle_scarlet_13_d	20	1.0	5339	1235	.” “You had better c	.” “You had better c
doyle_scarlet_13_d	22	0.9545454545454546	8017	10479	 in the Brixton Road. 	 in the Brixton Road h
doyle_scarlet_13_d	22	1.0	8017	15193	 in the Brixton Road. 	 in the Brixton Road. 
doyle_scarlet_13_d	20	0.95	8731	22469	 Sherlock Holmes sha	 Sherlock Holmes sai
doyle_scarlet_13_d	22	1.0	10075	825	 I thought to myself, 	 I thought to myself, 
