TargetTitle	Length	ratio	Source place	Target place	Analysis text	Target text
doyle_baskervilles_14_u	27	0.9629629629629629	14347	16154	 so that he might have a pr	 so that he might have a re
doyle_baskervilles_14_u	20	0.95	25836	17448	 to the conclusion t	 to the conclusion o
doyle_baskervilles_14_u	27	1.0	27269	8210	 his eyes shining brightly 	 his eyes shining brightly 
doyle_baskervilles_14_u	20	0.95	29170	3922	 on the other side u	 on the other side o
doyle_baskervilles_14_u	23	0.9565217391304348	31408	6762	 it would be as well." 	 it would be as well.” 
doyle_baskervilles_14_u	21	0.9523809523809523	40371	3958	 which I crouched. Ho	 which I crouched. Lo
doyle_baskervilles_14_u	20	0.95	41204	11214	t it appeared to me 	t it appeared to be 
doyle_baskervilles_14_u	25	0.96	42595	902	 on either side of the ap	 on either side of the na
doyle_baskervilles_14_u	23	1.0	42595	3382	 on either side of the 	 on either side of the 
doyle_baskervilles_14_u	20	0.95	43098	7803	, and I heard the so	, and I heard the sh
doyle_baskervilles_14_u	22	1.0	47124	1433	 the scene of action. 	 the scene of action. 
doyle_baskervilles_10_u	21	0.9523809523809523	130	15188	 conversation with a 	 conversation with Ba
doyle_baskervilles_10_u	25	0.96	10982	16260	s far as I can make out, 	s far as I can make out. 
doyle_baskervilles_10_u	20	0.95	11211	17799	 found that he had l	 found that he had s
doyle_baskervilles_10_u	20	1.0	12917	8946	. I should not have 	. I should not have 
doyle_baskervilles_10_u	20	0.95	16217	13135	 for a few minutes h	 for a few minutes. 
doyle_baskervilles_10_u	21	0.9523809523809523	20229	10099	 the whole business c	 the whole business. 
doyle_baskervilles_10_u	20	0.95	20920	16021	 that there is anyth	 that there is anoth
doyle_baskervilles_10_u	24	0.9583333333333334	23378	6197	, to say nothing of the 	, to say nothing to the 
doyle_baskervilles_10_u	24	0.9583333333333334	32157	15058	s with Sherlock Holmes. 	s with Sherlock Holmes f
doyle_baskervilles_10_u	21	0.9523809523809523	32372	10099	 the whole business w	 the whole business. 
doyle_baskervilles_10_u	29	0.9655172413793104	33220	4301	 heard the sound of voices fr	 heard the sound of voices ra
doyle_baskervilles_10_u	20	0.95	33306	15188	 conversation with t	 conversation with B
doyle_baskervilles_10_u	20	1.0	43105	4301	 heard the sound of 	 heard the sound of 
doyle_baskervilles_10_u	20	0.95	46116	10503	 to me that he had s	 to me that he had b
doyle_adventures_6_d	24	0.9583333333333334	51	28357	, Mr. Sherlock Holmes, o	, Mr. Sherlock Holmes," 
doyle_adventures_6_d	20	1.0	651	31252	 have no doubt that 	 have no doubt that 
