TargetTitle	Length	ratio	Source place	Target place	Analysis text	Target text
doyle_baskervilles_12_u	20	0.95	532	5758	 I should have done 	 I should have gone 
doyle_baskervilles_12_u	20	1.0	716	15965	 approached the body	 approached the body
doyle_baskervilles_12_u	20	1.0	2226	7814	How do you know that	How do you know that
doyle_baskervilles_12_u	20	1.0	3663	3882	 could not possibly 	 could not possibly 
doyle_baskervilles_12_u	20	1.0	4187	14603	t to be supernatural	t to be supernatural
doyle_baskervilles_12_u	34	1.0	4241	21461	” Holmes shrugged his shoulders. “	” Holmes shrugged his shoulders. “
doyle_baskervilles_12_u	24	0.9583333333333334	5021	13360	 Sir Henry Baskerville, 	 Sir Henry Baskerville! 
doyle_baskervilles_12_u	20	0.95	5480	1274	nt, I presume?” “Non	nt, I presume?” “No,
doyle_baskervilles_12_u	20	0.95	5533	3849	 have been able to t	 have been able to g
doyle_baskervilles_12_u	20	0.95	6220	15558	 “Why should he not 	 “Why should we not 
doyle_baskervilles_12_u	20	1.0	6461	3766	e would have warned 	e would have warned 
doyle_baskervilles_12_u	22	1.0	7918	13360	 Sir Henry Baskerville	 Sir Henry Baskerville
doyle_baskervilles_12_u	20	0.95	8028	6374	 about the matter.” 	 about the matter. T
doyle_baskervilles_12_u	24	0.9583333333333334	8291	13360	 Sir Henry Baskerville w	 Sir Henry Baskerville! 
doyle_baskervilles_12_u	20	0.95	9968	16782	 the light of the la	 the light of the ca
doyle_baskervilles_12_u	21	0.9523809523809523	11202	3255	 think that I have be	 think that I have de
doyle_baskervilles_12_u	21	1.0	14746	12082	 in the direction whe	 in the direction whe
doyle_baskervilles_12_u	24	0.9583333333333334	15730	13360	 Sir Henry Baskerville i	 Sir Henry Baskerville! 
doyle_adventures_4_d	20	1.0	114	42690	 showed that he was 	 showed that he was 
doyle_adventures_4_d	22	1.0	1100	14975	I understand that the 	I understand that the 
doyle_adventures_4_d	20	0.95	1100	44048	I understand that th	I understand that it
doyle_adventures_4_d	20	1.0	3612	36635	 corresponds with th	 corresponds with th
doyle_adventures_4_d	28	0.9642857142857143	4249	20536	 shrugged his shoulders. “I 	 shrugged his shoulders. "I 
